Words,counts
"('nanlaki', 'ang', 'mata')",122
"('sabi', 'ko', 'na')",122
"('ko', 'na', 'si')",122
"('ba', 'talaga', 'ang')",122
"('ayos', 'ka', 'lang')",122
"('yung', 'sasabihin', 'ko')",122
"('alam', 'kung', 'saan')",122
"('tumayo', 'na', 'ako')",122
"('ko', 'ang', 'tingin')",121
"('sa', 'lakas', 'ng')",121
"('pa', 'ni', 'fidel')",121
"('at', 'napatingin', 'sa')",121
"('ko', 'ang', 'kanyang')",121
"('bigla', 'kong', 'naalala')",121
"('ko', 'na', 'yung')",121
"('na', 'rin', 'naman')",121
"('mo', 'na', 'ako')",121
"('hindi', 'na', 'ito')",121
"('ang', 'lahat', 'at')",121
"('at', 'agad', 'siyang')",120
"('sa', 'aming', 'dalawa')",120
"('na', 'nga', 'lang')",120
"('na', 'natapos', 'yung')",120
"('din', 'siya', 'ng')",120
"('napaiwas', 'ng', 'tingin')",120
"('umupo', 'ako', 'sa')",120
"('sasabihin', 'ko', 'kasi')",120
"('labas', 'ng', 'bahay')",120
"('at', 'kinuha', 'ang')",120
"('papalapit', 'sa', 'akin')",120
"('ako', 'sa', 'paligid')",120
"('kinuha', 'niya', 'ang')",120
"('buong', 'katawan', 'ko')",120
"('saad', 'ko', 'saka')",120
"('magsasalita', 'na', 'sana')",120
"('at', 'tumingin', 'sa')",120
"('want', 'to', 'be')",120
"('hindi', 'niya', 'rin')",119
"('napatitig', 'ako', 'sa')",119
"('mga', 'luha', 'sa')",119
"('nang', 'makita', 'ako')",119
"('narinig', 'kong', 'sabi')",119
"('si', 'lucas', 'sa')",119
"('may', 'hawak', 'na')",119
"('habang', 'pilit', 'na')",119
"('pero', 'hindi', 'na')",119
"('sa', 'kanya', 'si')",119
"('ng', 'mga', 'bata')",119
"('sa', 'braso', 'ko')",119
"('tingin', 'sa', 'akin')",119
"('at', 'hindi', 'niya')",119
"('wala', 'na', 'rin')",118
"('lumapit', 'ako', 'sa')",118
"('ang', 'lakas', 'ng')",118
"('ang', 'kuwintas', 'na')",118
"('umiwas', 'ng', 'tingin')",118
"('ang', 'aking', 'mata')",118
"('the', 'first', 'time')",118
"('saad', 'pa', 'ni')",118
"('napatingin', 'naman', 'si')",118
"('mo', 'na', 'ba')",118
"('sabay', 'abot', 'ng')",118
"('pa', 'rin', 'ng')",117
"('sabay', 'tingin', 'sa')",117
"('nang', 'bigla', 'siyang')",117
"('naglakad', 'papalapit', 'sa')",117
"('naramdaman', 'ko', 'na')",117
"('i', 'just', 'want')",117
"('sa', 'tapat', 'ko')",117
"('lahat', 'ng', 'iyon')",117
"('napahinga', 'naman', 'ng')",116
"('i', 'want', 'you')",116
"('dahil', 'hindi', 'na')",116
"('makarating', 'kami', 'sa')",116
"('niya', 'dahil', 'sa')",116
"('madam', 'olivia', 'at')",116
"('hindi', 'ko', 'man')",116
"('at', 'sa', 'pagkakataong')",116
"('dahilan', 'para', 'mas')",116
"('lang', 'siya', 'at')",116
"('sa', 'dulo', 'ng')",116
"('kami', 'sa', 'isang')",115
"('sabay', 'kuha', 'ng')",115
"('niya', 'sa', 'mga')",115
"('pa', 'rin', 'niya')",115
"('dahil', 'alam', 'kong')",115
"('ang', 'ilang', 'mga')",115
"('niya', 'pa', 'ang')",115
"('tingin', 'niya', 'sa')",115
"('ni', 'sirene', 'ang')",115
"('hinawakan', 'ang', 'kamay')",115
"('sa', 'paglalakad', 'at')",115
"('ang', 'lahat', 'para')",115
"('si', 'madam', 'costellanos')",114
"('ang', 'nararamdaman', 'ko')",114
"('ang', 'hawak', 'na')",114
"('tanong', 'pa', 'ni')",114
"('pa', 'lang', 'ng')",114
"('naman', 'si', 'nikolas')",114
"('ang', 'pagbagsak', 'ng')",114
"('pa', 'rin', 'si')",113
"('yung', 'mga', 'mata')",113
"('na', 'naman', 'siya')",113
"('gusto', 'ko', 'na')",113
"('sa', 'mundong', 'ito')",113
"('tumingin', 'sa', 'kaniya')",113
"('sa', 'mga', 'ito')",113
"('hindi', 'ako', 'makapaniwala')",113
"('you', 'know', 'what')",113
"('na', 'lang', 'ulit')",113
"('gusto', 'ko', 'sanang')",113
"('araw', 'na', 'ito')",113
"('na', 'ko', 'sa')",112
"('na', 'lang', 'tayo')",112
"('ni', 'maria', 'at')",112
"('na', 'lang', 'ni')",112
"('ang', 'pangalan', 'ko')",112
"('na', 'nga', 'ba')",112
"('sa', 'panahong', 'ito')",112
"('nila', 'ang', 'mga')",112
"('mga', 'mata', 'sa')",112
"('at', 'sa', 'mga')",112
"('nasa', 'loob', 'ng')",112
"('ng', 'iyong', 'ama')",111
"('mo', 'ba', 'ako')",111
"('sa', 'dibdib', 'ko')",111
"('naman', 'ako', 'nang')",111
"('ng', 'malakas', 'na')",111
"('ng', 'isa', 'sa')",111
"('you', 'so', 'much')",111
"('ko', 'pero', 'hindi')",111
"('agad', 'naman', 'akong')",111
"('mga', 'guardia', 'personal')",111
"('ka', 'lang', 'ba')",111
"('ang', 'phone', 'ko')",111
"('ng', 'isang', 'babae')",111
"('sa', 'sahig', 'at')",110
"('hindi', 'ko', 'batid')",110
"('na', 'ako', 'ang')",110
"('hindi', 'ako', 'nakapagsalita')",110
"('ng', 'kwarto', 'ko')",110
"('na', 'ngayon', 'sa')",110
"('agad', 'naman', 'siyang')",110
"('wala', 'pa', 'rin')",110
"('sa', 'mga', 'tao')",110
"('mula', 'ulo', 'hanggang')",110
"('sa', 'kaniya', 'habang')",110
"('sa', 'loob', 'at')",110
"('napatingin', 'siya', 'sa')",110
"('sa', 'paligid', 'at')",109
"('sa', 'panahong', 'to')",109
"('sa', 'bintana', 'ng')",109
"('sa', 'mga', 'nangyayari')",109
"('maintindihan', 'kung', 'bakit')",109
"('na', 'sa', 'mga')",109
"('hindi', 'ka', 'ba')",109
"('na', 'sa', 'kaniya')",109
"('ito', 'sa', 'mga')",109
"('i', 'shook', 'my')",109
"('ang', 'aking', 'puso')",109
"('na', 'talaga', 'ako')",109
"('gulat', 'na', 'napatingin')",108
"('hindi', 'rin', 'ako')",108
"('ulo', 'hanggang', 'paa')",108
"('si', 'sirene', 'at')",108
"('na', 'nararamdaman', 'ko')",108
"('bakit', 'hindi', 'mo')",108
"('isang', 'lalaki', 'na')",108
"('ko', 'sa', 'sinabi')",108
"('sa', 'bahay', 'ni')",108
"('niya', 'ito', 'sa')",108
"('kung', 'bakit', 'ako')",108
"('ni', 'inang', 'diday')",108
"('at', 'agad', 'niyang')",108
"('sa', 'bibig', 'ko')",108
"('ang', 'tingin', 'nito')",107
"('hindi', 'ko', 'kayang')",107
"('nikolas', 'at', 'batchoy')",107
"('sa', 'ikalawang', 'palapag')",107
"('ko', 'na', 'kung')",107
"('sa', 'kabilang', 'linya')",107
"('pa', 'ni', 'salome')",107
"('na', 'nga', 'ang')",107
"('ang', 'laman', 'ng')",107
"('tanong', 'ni', 'martin')",107
"('ako', 'sa', 'bahay')",107
"('sa', 'utak', 'ko')",107
"('at', 'hindi', 'rin')",107
"('siya', 'sa', 'paglalakad')",106
"('wika', 'ni', 'martin')",106
"('galit', 'na', 'galit')",106
"('niya', 'ang', 'aking')",106
"('ay', 'nakita', 'ko')",106
"('ka', 'pa', 'rin')",106
"('sa', 'kanyang', 'mukha')",106
"('siya', 'nang', 'biglang')",106
"('sa', 'akin', 'ngayon')",106
"('pa', 'lang', 'ang')",106
"('i', 'know', 'that')",106
"('ni', 'martin', 'sabay')",106
"('sa', 'mga', 'bata')",106
"('ang', 'mga', 'labi')",106
"('na', 'po', 'ang')",106
"('lugar', 'na', 'iyon')",106
"('si', 'don', 'matias')",105
"('sila', 'ng', 'mga')",105
"('but', 'i', 'dont')",105
"('sa', 'kanya', 'na')",105
"('hindi', 'pa', 'siya')",105
"('hindi', 'ko', 'lang')",105
"('sa', 'gulat', 'nang')",105
"('biglang', 'bumukas', 'ang')",105
"('at', 'dahil', 'sa')",105
"('wala', 'sa', 'sariling')",105
"('kung', 'hindi', 'ko')",104
"('sa', 'balikat', 'ko')",104
"('ni', 'lola', 'carmina')",104
"('kong', 'sabi', 'ni')",104
"('ito', 'sa', 'kanya')",104
"('sa', 'akin', 'pero')",104
"('mukha', 'niya', 'na')",104
"('niya', 'rin', 'ang')",104
"('tumayo', 'na', 'si')",104
"('ako', 'papunta', 'sa')",104
"('ang', 'maliit', 'na')",104
"('sa', 'sinabi', 'nya')",104
"('kanina', 'ka', 'pa')",104
"('ibig', 'mong', 'sabihin')",104
"('ang', 'ibig', 'sabihin')",104
"('na', 'sana', 'siya')",104
"('gawa', 'sa', 'kahoy')",104
"('tumayo', 'ako', 'at')",104
"('dahil', 'sa', 'ginawa')",103
"('ay', 'wala', 'na')",103
"('we', 'need', 'to')",103
"('ulit', 'ako', 'sa')",103
"('what', 'the', 'fuck')",103
"('ang', 'kanyang', 'kamay')",103
"('at', 'umalis', 'na')",103
"('ng', 'isang', 'lalaki')",103
"('kahit', 'na', 'anong')",103
"('ni', 'sirene', 'at')",103
"('ang', 'cellphone', 'ko')",103
"('tungkol', 'sa', 'mga')",103
"('ako', 'ng', 'isang')",103
"('mula', 'sa', 'dikalayuan')",103
"('sa', 'kanya', 'ni')",103
"('at', 'bigla', 'siyang')",102
"('mula', 'sa', 'kaniyang')",102
"('i', 'know', 'you')",102
"('ni', 'nightmare', 'ang')",102
"('nasa', 'tabi', 'ko')",102
"('ang', 'nangyari', 'sa')",102
"('isang', 'babae', 'na')",102
"('kamay', 'niya', 'sa')",102
"('dagdag', 'pa', 'niya')",102
"('kaya', 'hindi', 'na')",102
"('isa', 'sa', 'kanila')",102
"('mula', 'sa', 'labas')",102
"('ang', 'lahat', 'dahil')",102
"('ang', 'tunay', 'na')",102
"('ang', 'bag', 'ko')",102
"('dito', 'sa', 'loob')",102
"('na', 'iyon', 'na')",102
"('na', 'lang', 'po')",102
"('i', 'heard', 'him')",102
"('tanong', 'ko', 'kay')",102
"('kay', 'sir', 'nathan')",102
"('hindi', 'rin', 'naman')",102
"('ngunit', 'hindi', 'pa')",102
"('wala', 'na', 'ang')",102
"('nang', 'makita', 'niya')",101
"('ko', 'muna', 'ang')",101
"('naalala', 'ko', 'ang')",101
"('ang', 'lugar', 'na')",101
"('ko', 'ang', 'sinabi')",101
"('ng', 'malalim', 'at')",101
"('sa', 'akin', 'kaya')",101
"('ako', 'naman', 'ang')",101
"('ang', 'lalaking', 'iyon')",101
"('do', 'you', 'think')",101
"('ng', 'mga', 'kaibigan')",101
"('na', 'nakalagay', 'sa')",101
"('sabay', 'tingin', 'kay')",101
"('saka', 'mabilis', 'na')",101
"('do', 'you', 'mean')",101
"('na', 'nakasabit', 'sa')",101
"('sa', 'harap', 'ko')",101
"('hindi', 'mo', 'pa')",101
"('ang', 'mga', 'iyon')",100
"('ka', 'na', 'naman')",100
"('dumating', 'na', 'ang')",100
"('i', 'rolled', 'my')",100
"('ang', 'itim', 'na')",100
"('tingin', 'sa', 'kaniya')",100
"('just', 'want', 'to')",100
"('na', 'kami', 'ni')",100
"('dahil', 'sa', 'kaba')",100
"('si', 'nay', 'delia')",100
"('pati', 'na', 'rin')",100
